DAY_OF_WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,DAILY_SALES
4,5,3,87,1104.0
4,2,3,88,912.0
6,13,3,89,657.0
2,2,3,90,2423.0
0,1,3,91,940.0
0,7,3,92,1266.0
3,11,2,93,18840.5
0,10,2,94,2944.0
3,4,2,95,7474.0
2,2,2,96,5176.0
2,2,2,97,19283.0
3,8,2,98,5732.0
4,7,2,99,5015.0
6,12,2,77,15108.75
1,0,2,100,6123.0
6,2,2,101,8054.0
0,5,0,102,51079.0
4,0,2,103,10293.0
5,13,2,104,5640.0
6,13,2,105,3355.0
6,1,2,57,7685.0
6,0,2,106,16837.0
4,12,2,107,17371.0
4,12,2,108,21792.0
2,12,2,109,17114.5
3,8,1,110,19744.0
3,3,1,111,10783.0
4,9,1,13,17299.0
2,12,2,112,12689.5
3,1,0,113,126507.0
4,4,1,114,15800.0
4,11,1,115,17143.5
4,7,1,116,6247.0
2,7,1,117,7461.0
3,2,1,118,8395.0
5,6,1,119,24287.0
6,12,1,120,9167.75
1,8,1,121,7509.0
6,2,2,122,5993.0
6,12,2,123,24118.25
5,12,2,124,10836.0
2,3,4,125,9792.0
5,12,4,126,9397.5
2,9,0,127,73176.0
3,12,2,128,11833.25
3,7,0,129,25720.0
2,10,2,130,2929.0
3,12,2,131,21401.75
6,0,0,132,29364.0
0,12,0,133,44247.25
4,10,2,134,3624.5
6,10,3,135,2626.5
2,11,3,136,1269.5
6,2,2,137,7499.0
4,4,0,138,35944.0
0,9,0,139,32943.0
1,13,3,140,2024.0
4,1,0,141,55138.0
4,3,3,88,2148.0
5,1,3,142,934.0
2,12,2,143,8545.25
5,13,2,144,9591.0
0,11,2,145,2886.0
6,2,2,146,6348.0
0,5,0,147,30745.0
4,6,2,148,8713.0
4,10,2,149,2259.5
0,4,2,150,7036.0
1,2,0,151,25620.0
4,10,2,152,6650.0
2,1,0,153,49306.0
1,5,2,154,8115.0
1,0,2,155,8684.0
2,10,2,156,3056.5
3,4,0,157,31125.0
2,10,1,158,4849.0
4,3,1,159,13285.0
1,11,1,160,10193.5
2,4,1,161,16790.0
2,0,1,162,8449.0
3,1,1,163,6267.0
3,2,0,164,24974.0
4,3,1,165,13852.0
5,13,1,166,2952.0
1,4,2,167,12655.0
5,2,2,168,6264.0
2,0,1,169,16773.0
5,4,0,170,65204.0
3,0,2,171,5071.0
5,0,0,172,29195.0
6,4,2,173,16457.0
0,11,2,174,8366.5
2,6,0,175,33963.0
3,4,0,176,36441.0
2,11,2,177,7364.5
4,2,2,178,6572.0
5,4,2,179,7068.0
5,12,2,180,10058.25
0,0,2,181,7139.0
1,7,2,182,9363.0
2,4,2,168,8089.0
4,4,2,183,9316.0
0,2,2,184,11689.0
5,13,2,185,14130.0
1,13,2,186,6118.0
4,3,2,187,22103.0
3,4,0,188,37098.0
2,12,2,189,35459.75
2,13,2,190,11172.0
4,9,4,191,9035.0
1,7,0,147,72354.0
6,5,0,192,25991.0
1,9,4,193,19086.0
1,0,4,194,26049.0
5,4,0,195,34329.0
0,13,4,196,5311.0
1,2,0,197,47619.0
2,10,0,198,14792.0
1,8,0,199,60765.0
1,8,0,200,33054.0
0,10,4,201,3301.0
1,0,4,202,12096.0
4,11,4,203,14430.0
1,10,4,204,2481.0
0,11,4,205,11789.0
4,10,0,206,14586.5
3,6,1,207,9511.0
5,9,0,208,34549.0
5,3,0,209,37858.0
1,1,1,210,6483.0
4,9,1,211,12632.0
6,4,0,212,71450.0
5,12,1,213,24800.25
2,11,4,214,8651.5
2,5,4,215,7474.0
6,5,4,216,18586.0
6,13,2,217,4956.0
4,3,0,218,45520.0
6,9,0,200,74172.0
3,3,0,219,42853.0
4,11,1,220,5968.5
6,11,1,221,4720.5
0,4,1,222,13230.0
2,13,1,223,2683.0
6,6,2,224,5679.0
2,14,2,225,6701.0
4,2,0,226,24677.0
1,11,1,227,5837.5
5,11,1,228,8004.5
5,13,1,229,5918.0
0,0,4,230,9310.0
1,10,4,231,3484.0
1,10,4,202,3306.5
1,11,4,232,8529.0
0,0,4,233,3578.0
1,10,4,234,8613.0
0,14,0,235,31840.0
5,1,0,236,24445.0
6,4,1,237,14856.0
1,11,1,238,3558.5
5,11,1,239,8771.0
6,11,1,119,6989.5
3,4,1,240,8901.0
0,9,0,241,34608.0
1,6,1,119,6183.0
1,2,0,175,24413.0
1,11,0,242,32663.5
0,3,0,243,37628.0
4,11,1,244,37452.5
2,10,0,245,12547.5
1,1,0,246,77993.0
4,8,1,247,9788.0
3,4,1,248,8811.0
4,6,1,249,17490.0
4,14,0,250,33659.0
2,13,0,251,17456.0
3,4,4,252,7574.0
0,4,2,253,11217.0
0,3,2,254,9182.0
1,11,2,255,8161.5
2,13,2,145,2926.0
6,13,2,185,7740.0
6,7,2,256,15718.0
6,8,2,257,6374.0
0,7,2,99,4433.0
4,11,2,258,4419.0
3,8,2,259,5910.0
4,4,0,176,30021.0
4,5,0,260,27275.0
0,10,4,261,7605.5
0,5,4,262,11465.0
5,9,0,263,61299.0
0,1,0,264,51495.0
4,13,1,265,8148.0
0,14,1,266,6511.0
1,8,1,267,21026.0
1,9,0,250,35271.0
1,1,0,268,26956.0
4,11,1,269,6013.0
5,13,1,270,4114.0
2,4,0,271,38080.0
4,13,1,272,8839.0
2,8,1,273,17215.0
4,4,4,274,12938.0
5,13,4,275,6279.0
6,1,4,276,8356.0
5,6,1,277,10151.0
1,11,1,278,6997.0
2,13,1,279,2038.0
3,6,1,280,15682.0
4,3,2,281,14825.0
0,1,2,282,5790.0
1,10,2,283,3514.5
5,7,0,284,22297.0
6,7,4,285,9535.0
0,3,4,203,11368.0
0,12,0,286,86112.0
0,10,4,287,9641.5
0,11,4,288,5530.5
2,11,4,289,17511.5
5,0,4,290,5735.0
5,11,4,291,11089.0
6,0,4,292,4937.0
0,0,4,293,5315.0
5,14,2,294,17846.0
6,14,2,295,8397.0
2,11,4,296,18249.0
3,0,4,297,14247.0
4,10,0,298,13806.5
4,0,0,299,30475.0
6,3,1,300,24752.0
1,8,1,301,7739.0
6,3,0,302,48364.0
5,9,4,303,10898.0
0,14,4,304,3466.0
5,4,1,117,7955.0
1,4,1,305,5564.0
3,1,0,241,30398.0
5,9,0,306,95757.0
1,14,0,307,32432.0
1,12,0,308,48800.75
1,6,0,309,36012.0
5,3,0,310,87578.0
0,7,0,6,25696.0
2,10,4,311,7600.0
2,2,4,312,4472.0
3,11,4,214,15324.5
6,2,1,313,5639.0
0,4,1,314,9040.0
3,8,0,315,66941.0
0,3,4,316,18484.0
1,14,4,317,5429.0
4,11,0,66,27489.5
1,8,2,318,9130.0
0,4,1,319,6614.0
5,14,0,320,27922.0
0,3,1,321,9045.0
0,11,4,201,13112.0
0,1,4,322,5153.0
1,5,4,203,5479.0
1,9,4,323,9692.0
1,6,4,324,11708.0
2,13,4,325,6842.0
3,2,4,326,14384.0
3,5,4,327,10228.0
3,0,4,328,13426.0
5,0,4,252,15085.0
5,13,0,19,14284.0
6,0,4,329,8011.0
2,11,4,330,5225.5
4,2,0,212,23927.0
5,9,0,0,33615.0
4,3,1,331,12137.0
5,11,1,332,7528.0
0,13,1,333,7225.0
3,6,1,334,5007.0
3,5,1,160,16882.0
2,6,1,335,8857.0
6,9,0,336,32272.0
4,3,0,337,39737.0
3,11,1,120,6295.5
1,9,0,55,34798.0
2,13,1,338,3464.0
0,7,0,339,22523.0
5,6,4,340,30196.0
3,10,0,341,28596.0
6,5,2,342,11995.0
0,13,1,9,3983.0
5,5,2,343,7654.0
5,0,2,344,7604.0
3,5,4,345,9484.0
6,8,1,346,11981.0
1,4,0,347,28753.0
2,9,0,348,35464.0
3,3,1,349,7125.0
0,6,1,350,6084.0
4,6,1,351,10490.0
5,8,0,352,30448.0
0,1,0,353,25397.0
1,2,1,354,6513.0
2,13,1,355,3016.0
3,13,0,356,17387.0
1,0,0,357,31035.0
4,0,1,21,21589.0
0,14,1,358,7904.0
1,14,1,166,10028.0
2,2,1,359,6820.0
3,2,1,272,6626.0
4,5,1,360,5692.0
5,14,1,361,7791.0
5,3,1,43,15775.0
5,0,1,338,9240.0
0,13,1,362,5190.0
0,2,1,363,12508.0
1,2,0,364,21997.0
2,4,1,365,8543.0
3,14,1,72,5868.0
0,9,1,366,7820.0
1,1,0,367,29119.0
5,4,1,368,19593.0
4,1,1,240,7858.0
0,7,1,111,4357.0
0,1,1,369,6393.0
0,1,1,370,7572.0
5,11,4,371,14063.0
4,11,4,205,6567.0
3,11,4,372,5524.0
1,11,2,373,4774.0
2,11,2,374,5225.0
3,11,2,259,14734.5
3,11,4,375,12771.0
3,6,4,376,7794.0
3,0,4,377,12523.0
5,10,4,378,4463.0
0,11,4,379,7484.0
0,5,4,380,7199.0
1,10,4,381,3245.5
2,13,1,382,9917.0
5,8,1,383,9133.0
4,14,0,384,55467.0
2,8,1,385,15244.0
3,8,1,386,6071.0
6,11,1,387,9305.0
0,8,1,229,8631.0
6,4,1,388,19546.0
6,2,1,240,8022.0
6,5,2,96,7301.0
0,8,2,389,16197.0
1,11,2,390,14997.0
1,9,1,273,15728.0
2,12,1,391,11765.0
3,12,1,392,10813.0
3,5,1,393,19895.0
3,14,0,64,25745.0
3,0,0,394,27259.0
3,9,1,110,6894.0
2,9,2,395,6653.0
5,11,4,396,7585.5
5,11,1,3,9135.5
2,10,4,397,7077.5
5,10,0,398,13973.0
0,0,0,348,27607.0
1,8,4,399,8320.0
1,5,4,400,9760.0
1,1,4,401,5907.0
2,8,0,402,33984.0
4,0,0,403,30473.0
0,3,0,404,44981.0
0,0,0,405,58601.0
3,14,0,406,57101.0
4,0,4,345,15922.0
1,0,1,116,6937.0
5,14,0,407,32280.0
1,6,0,408,34689.0
4,14,0,409,31129.0
1,7,4,410,10292.0
2,5,4,411,16987.0
3,3,4,412,21412.0
6,1,0,413,25244.0
0,8,2,414,12097.0
2,0,2,100,8701.0
4,9,4,415,9907.0
5,14,4,416,8027.0
5,13,4,417,4678.0
5,8,4,418,9452.0
5,5,4,419,18142.0
5,0,4,329,7865.0
1,8,1,420,5472.0
4,7,2,421,5099.0
4,2,4,422,6479.0
5,2,4,423,7485.0
6,4,4,424,8506.0
0,4,4,425,4598.0
4,13,1,426,4691.0
6,4,1,427,7062.0
2,11,1,428,11543.0
2,11,1,166,5104.5
3,11,0,429,30848.5
3,3,0,430,41518.0
6,2,1,431,16013.0
0,14,1,432,6427.0
1,0,1,14,14683.0
3,10,4,433,2566.0
4,5,4,196,7993.0
5,13,0,434,16841.0
5,9,4,435,8321.0
6,2,4,275,11123.0
0,13,4,205,2347.0
0,13,4,436,2771.0
1,1,4,437,5829.0
2,12,4,437,8798.0
2,0,4,438,25209.0
0,10,0,439,16578.0
0,9,0,357,37074.0
5,2,1,440,10213.0
2,7,2,441,11898.0
5,10,2,442,3513.5
3,3,1,443,10967.0
1,1,1,444,8538.0
3,13,1,445,12297.0
2,10,2,446,4916.0
3,12,0,268,81655.25
2,13,2,447,4860.0
3,11,2,187,7752.0
4,7,2,76,9364.0
0,14,1,388,7208.0
1,4,1,448,9049.0
4,10,0,306,27807.5
4,14,1,449,9278.0
5,13,1,169,14356.0
2,1,0,450,22997.0
2,4,1,451,5986.0
4,12,1,452,6724.5
5,0,4,453,11951.0
6,10,4,454,9115.5
0,11,4,455,20737.5
0,2,4,234,5775.0
4,6,2,456,8626.0
5,4,2,457,31919.0
2,11,1,14,11720.5
2,9,1,458,7615.0
4,3,1,459,13320.0
1,10,0,460,15124.0
5,6,2,461,12187.0
6,12,2,414,22299.25
0,6,2,462,16200.0
1,12,2,253,12909.25
4,7,0,463,78075.0
1,4,0,464,32568.0
3,12,2,104,7846.5
6,11,1,369,12098.5
6,5,1,465,9318.0
6,2,1,466,6421.0
6,9,1,467,9635.0
0,6,1,221,16707.0
1,11,2,51,9300.5
1,12,2,446,22712.0
4,10,2,468,4731.0
2,14,1,220,10879.0
1,3,0,66,45826.0
5,7,0,469,53686.0
5,5,1,300,8154.0
6,4,1,470,8240.0
6,2,1,471,8172.0
3,4,1,472,5739.0
0,13,1,473,1901.0
4,9,0,474,31234.0
3,11,1,121,5080.0
6,13,4,475,8636.0
4,8,0,195,34230.0
5,11,0,476,33623.0
5,6,0,477,71019.0
6,7,0,478,46319.0
6,8,0,479,32891.0
6,5,4,480,22081.0
6,0,0,481,64403.0
1,9,4,482,13464.0
5,3,0,483,38974.0
6,8,1,305,20841.0
4,0,0,484,27118.0
1,9,1,485,5467.0
3,8,1,486,5790.0
1,4,2,29,9254.0
2,13,1,428,3044.0
2,8,1,487,6847.0
4,11,1,488,8857.0
4,3,0,16,41803.0
2,10,0,489,13433.0
1,14,4,490,7300.0
3,6,4,491,11613.0
4,4,1,492,9688.0
5,9,1,493,10964.0
1,8,1,494,7270.0
3,5,3,495,2083.0
4,0,3,496,2470.0
6,3,3,497,1649.0
0,7,3,498,1510.0
0,13,0,499,14485.0
0,7,0,500,22764.0
4,13,4,501,9115.0
1,4,4,502,18522.0
1,0,4,503,6954.0
1,10,3,504,1682.5
5,14,3,505,3074.0
0,10,3,504,1808.0
4,10,3,506,2880.5
0,0,3,507,757.0
0,9,3,508,2629.0
4,13,3,504,385.0
4,0,3,509,2425.0
5,10,3,510,1300.0
3,4,0,138,35118.0
0,0,4,424,5657.0
1,5,3,511,1331.0
0,2,4,512,4847.0
1,10,4,513,2606.5
1,3,1,514,21457.0
3,8,1,72,9312.0
4,11,1,515,8030.5
3,13,1,516,11402.0
4,4,1,517,9540.0
4,4,1,518,21180.0
4,3,0,245,46576.0
4,0,0,367,25859.0
2,10,4,205,6135.5
3,11,4,490,14683.0
0,13,4,418,3032.0
3,1,0,519,28633.0
0,7,2,177,4532.0
0,3,2,520,4756.0
2,10,2,521,9295.0
3,1,0,522,30189.0
2,1,0,523,24657.0
4,13,4,524,9975.0
6,3,1,525,8879.0
6,0,1,526,9181.0
2,1,0,527,57469.0
0,5,0,241,29334.0
1,7,0,528,44391.0
1,1,0,529,54380.0
2,14,4,530,7194.0
3,8,4,531,9241.0
6,0,4,423,17364.0
6,11,1,280,9893.0
6,1,1,532,4910.0
0,13,1,533,3925.0
6,10,0,1,28797.5
5,1,0,534,55755.0
0,5,1,535,6202.0
1,14,1,536,7517.0
1,13,1,537,10281.0
2,10,1,169,4789.0
3,14,1,538,6697.0
0,10,0,539,15358.0
2,6,1,540,8017.0
3,9,1,541,19168.0
3,12,4,542,8016.5
5,9,0,543,31082.0
3,11,1,544,6140.5
5,11,1,545,9862.0
6,4,3,546,1440.0
2,7,3,547,2711.0
1,9,3,548,2876.0
6,10,3,549,1403.0
0,4,3,550,853.0
2,13,3,551,1098.0
3,6,3,552,5307.0
5,10,3,553,2564.5
3,3,3,554,1443.0
5,5,3,555,1331.0
5,6,3,556,1286.0
5,7,0,241,22862.0
3,12,1,557,11344.0
4,3,4,558,12774.0
2,11,4,559,5312.0
2,2,4,560,5964.0
4,11,4,561,14256.5
5,6,4,438,11432.0
2,14,4,562,10223.0
3,4,4,410,6393.0
4,7,4,327,12531.0
5,6,4,563,21123.0
6,11,4,289,6641.5
5,7,1,564,6182.0
6,7,1,494,10510.0
1,13,4,565,3591.0
2,6,4,566,15044.0
3,10,4,567,6130.5
4,9,4,568,6544.0
4,3,4,569,23795.0
3,8,2,25,8226.0
3,9,2,457,8100.0
3,9,2,570,9378.0
4,10,2,571,4060.0
6,10,3,572,2992.5
3,6,3,573,1809.0
4,3,3,574,1812.0
6,13,3,575,804.0
6,6,3,576,4064.0
1,0,3,577,1330.0
2,0,3,578,939.0
5,13,3,579,692.0
3,13,3,580,755.0
6,6,4,581,11546.0
0,3,4,582,6731.0
0,14,4,261,5693.0
0,13,1,525,3567.0
2,12,1,26,10358.0
5,12,1,583,26454.25
3,6,4,584,32939.0
4,10,4,585,4473.5
0,6,0,586,41151.0
3,8,1,587,7668.0
4,4,1,588,29268.0
4,12,1,589,28128.25
3,10,3,590,1300.5
4,13,3,591,650.0
5,14,3,592,3611.0
5,13,3,593,913.0
5,4,3,594,3642.0
6,13,3,595,765.0
3,14,3,36,2323.0
4,4,3,596,1267.0
0,4,3,498,1154.0
1,7,3,597,1008.0
1,9,3,598,1625.0
5,9,1,599,9136.0
6,6,1,600,14165.0
0,8,1,391,13930.0
1,4,1,601,7210.0
3,12,1,161,10082.75
6,4,2,602,10734.0
0,14,2,187,12244.0
0,5,4,412,5752.0
2,0,4,524,10294.0
5,2,4,603,7968.0
6,2,4,604,7902.0
0,11,4,604,5971.5
0,1,0,339,53742.0
4,5,3,605,912.0
5,14,3,606,1161.0
0,1,3,607,1980.0
1,0,3,608,1962.0
1,4,3,609,799.0
4,5,3,610,1023.0
5,9,3,609,1808.0
0,0,3,90,986.0
3,13,3,611,761.0
5,13,3,612,2285.0
5,1,3,613,1058.0
6,3,4,614,31343.0
1,12,4,297,14353.0
0,10,4,615,2422.5
0,6,4,616,16447.0
3,6,4,617,20587.0
4,5,4,618,14805.0
3,10,0,619,17077.5
3,4,0,347,36317.0
0,10,4,620,2932.0
0,11,4,621,6808.5
3,6,4,622,8276.0
2,14,0,623,32563.0
4,5,4,624,8516.0
5,0,4,340,10435.0
0,1,4,625,5915.0
4,14,1,626,5066.0
5,0,1,627,9789.0
3,1,4,628,6668.0
4,5,3,140,2478.0
1,10,1,629,4861.0
6,4,4,630,13614.0
5,0,1,432,8913.0
6,13,4,569,9215.0
3,10,4,631,2637.0
0,1,0,632,49583.0
4,2,0,633,47384.0
4,0,0,634,28986.0
4,4,4,635,21798.0
5,12,0,636,48300.5
1,4,1,637,11219.0
3,3,1,237,10673.0
1,3,1,638,4889.0
2,13,1,639,7160.0
2,3,1,266,11654.0
3,3,1,517,7800.0
5,11,1,247,22758.5
2,4,1,640,9098.0
2,13,1,526,6402.0
0,0,0,349,27045.0
1,7,0,384,22741.0
6,10,4,641,3567.0
6,11,4,560,7063.0
6,14,0,642,29411.0
0,11,4,643,6976.5
5,11,1,644,11854.5
6,3,1,645,15374.0
2,14,0,646,64399.0
2,7,0,647,26779.0
2,0,4,311,8517.0
5,11,1,301,15637.5
6,11,1,637,5653.5
0,11,1,648,4820.0
2,1,0,649,27723.0
2,3,0,650,41511.0
3,1,0,651,23390.0
6,3,0,271,38678.0
4,3,0,652,94444.0
3,7,2,653,6213.0
4,13,2,654,3715.0
5,2,2,655,4342.0
0,5,2,521,6658.0
0,3,2,656,7886.0
6,1,4,303,6815.0
6,1,0,657,77340.0
6,10,0,175,14162.5
1,12,0,302,87556.75
1,6,0,658,34622.0
2,4,0,659,32335.0
2,9,4,660,28315.0
2,0,4,661,13464.0
4,8,0,662,33713.0
0,2,4,663,5334.0
0,6,4,664,16214.0
1,7,0,665,25360.0
1,3,0,666,80194.0
6,12,4,667,18823.5
2,1,4,668,7701.0
3,10,0,151,15622.5
6,12,4,669,9950.25
3,13,0,670,16973.0
3,8,0,384,32607.0
1,0,0,671,26905.0
1,0,4,672,5605.0
0,11,4,559,12313.5
4,11,4,673,16483.0
2,7,1,674,12538.0
2,6,1,675,7346.0
2,0,1,382,12293.0
2,0,4,676,7861.0
4,4,0,677,34511.0
3,0,4,678,6593.0
5,7,0,484,74789.0
5,5,0,679,31420.0
4,6,4,680,6375.0
6,6,4,531,12207.0
5,0,4,681,23425.0
3,11,1,545,10301.0
0,9,3,682,645.0
1,8,3,683,2787.0
5,0,3,575,651.0
3,0,0,684,55260.0
4,13,1,685,8771.0
4,8,1,391,7290.0
0,9,4,686,12331.0
1,6,4,687,8458.0
2,11,1,221,6118.5
2,2,1,688,6621.0
3,5,1,689,8985.0
3,1,1,644,8203.0
0,12,1,690,10503.0
0,1,1,637,5525.0
1,5,1,386,6410.0
1,9,1,494,16053.0
3,1,4,691,8044.0
4,4,4,692,8989.0
1,6,1,693,20644.0
3,7,1,300,7151.0
4,14,0,694,31253.0
1,5,0,695,27201.0
5,7,0,696,54531.0
4,5,1,471,7435.0
6,9,1,697,8431.0
5,13,2,698,5535.0
6,2,2,699,6069.0
0,4,2,700,10950.0
0,12,2,701,29322.0
0,11,3,702,1201.5
1,7,3,703,1093.0
1,2,3,593,1905.0
3,5,3,704,1687.0
4,1,3,703,1551.0
1,10,3,705,1458.0
2,13,3,706,1300.0
3,12,3,707,3104.5
3,12,3,708,2706.75
4,2,3,709,1291.0
4,6,3,710,844.0
5,4,3,711,3079.0
6,12,3,712,2180.5
0,1,3,713,661.0
0,3,3,714,3424.0
5,8,0,646,28494.0
3,0,2,715,14449.0
3,6,3,716,1320.0
6,10,3,717,496.0
0,13,3,718,1337.0
0,9,3,719,974.0
0,1,3,720,924.0
1,1,3,721,1235.0
2,4,3,722,1509.0
3,12,3,723,2024.25
4,6,3,550,2629.0
0,13,3,608,473.0
0,9,3,724,944.0
2,4,2,98,8259.0
2,12,2,725,23570.75
5,11,2,105,6272.5
5,10,4,435,14022.0
6,9,4,726,7754.0
0,5,4,663,6487.0
0,10,2,727,2829.0
1,4,2,104,10143.0
3,10,2,728,3207.5
4,0,1,729,6041.0
6,8,1,730,5889.0
6,5,1,370,9021.0
6,1,1,731,5950.0
0,4,1,467,6555.0
5,0,2,104,7161.0
1,2,2,732,6093.0
5,9,0,651,30739.0
4,0,2,733,13238.0
3,14,2,734,5814.0
3,13,2,735,12938.0
3,5,2,736,7271.0
3,3,2,737,7898.0
3,0,2,70,14156.0
3,0,2,93,7648.0
4,4,2,177,7716.0
4,12,2,282,19232.0
4,5,2,738,7013.0
2,14,2,739,10220.0
2,2,2,733,5366.0
5,12,2,187,11414.75
0,1,0,476,25864.0
4,1,1,740,5931.0
6,4,1,638,9205.0
6,8,4,741,9633.0
6,3,4,742,16993.0
0,0,3,743,768.0
4,5,3,744,1546.0
6,0,3,505,992.0
1,1,3,722,1278.0
2,11,3,597,1166.5
2,1,3,745,1761.0
2,7,0,746,50877.0
2,2,0,747,45464.0
6,8,3,142,1697.0
0,2,3,140,655.0
2,3,3,748,2745.0
3,7,3,578,775.0
1,7,3,749,695.0
3,2,3,750,816.0
4,12,3,751,1902.5
5,8,3,752,1290.0
6,7,3,753,1058.0
6,6,3,754,1702.0
1,11,3,755,743.0
1,13,3,754,947.0
2,13,3,756,1285.0
4,0,3,757,1548.0
5,13,3,758,1160.0
0,1,3,759,1013.0
1,10,3,760,1775.0
1,10,3,752,1254.5
5,10,3,761,1604.0
3,10,3,762,1687.0
6,10,3,763,796.5
0,10,3,764,701.0
4,6,0,765,35452.0
5,13,0,402,14772.0
2,8,0,766,30227.0
1,8,1,544,9280.0
2,1,1,767,7943.0
5,1,1,267,5362.0
0,2,1,675,4923.0
0,2,1,768,5749.0
1,3,1,538,10107.0
1,0,1,769,7119.0
2,12,2,770,12508.0
3,0,2,771,7430.0
4,12,2,772,9729.75
4,13,2,773,4409.0
6,14,2,774,6691.0
6,10,3,775,2417.0
1,13,3,776,446.0
5,13,3,777,1292.0
5,4,1,778,13337.0
3,7,1,638,6219.0
4,6,1,779,24353.0
5,10,1,626,3087.0
5,9,0,780,30668.0
2,10,0,781,12659.5
0,0,0,782,25831.0
1,4,4,783,11750.0
1,14,4,784,7005.0
2,9,4,433,10075.0
2,0,0,785,31139.0
3,4,0,499,69348.0
5,9,1,786,8030.0
6,7,1,220,8120.0
6,11,1,238,8274.5
6,13,1,473,3982.0
0,11,1,675,5556.5
0,1,1,445,5614.0
3,6,1,600,9223.0
3,3,1,787,11545.0
5,4,1,788,9662.0
5,13,1,789,5278.0
0,7,2,790,4163.0
1,6,2,791,9366.0
2,1,0,792,28297.0
4,7,0,793,26400.0
3,1,4,531,10441.0
4,13,4,660,4501.0
4,5,4,794,7823.0
5,10,4,795,5371.0
5,1,4,796,18698.0
2,10,2,70,3002.5
0,4,2,797,10097.0
4,6,3,798,1567.0
3,10,3,799,936.0
0,14,1,800,4661.0
1,1,1,587,5641.0
1,7,1,801,5040.0
0,1,0,802,29217.0
2,2,4,803,6277.0
2,13,2,804,3542.0
3,4,2,154,7665.0
4,12,4,805,14031.25
6,7,2,806,17180.0
4,10,0,481,15588.0
4,13,0,651,15964.0
6,9,4,621,11011.0
6,3,4,566,10900.0
2,13,4,807,4272.0
2,9,4,741,9583.0
2,6,4,808,9322.0
3,6,4,809,9100.0
4,13,4,810,5300.0
6,0,4,811,10159.0
1,6,4,812,32738.0
2,10,4,813,3105.0
2,12,4,814,8634.0
1,6,4,288,7159.0
6,11,4,531,7994.0
6,0,4,815,5985.0
3,3,0,263,35045.0
5,7,0,695,22663.0
2,5,4,816,8330.0
2,1,4,817,8467.0
5,12,4,372,11432.25
6,2,4,291,10166.0
6,0,4,818,16870.0
0,7,4,819,7138.0
1,6,4,214,14200.0
0,8,4,423,6953.0
0,6,4,820,6742.0
1,11,4,821,7998.0
6,10,0,822,32119.0
5,9,4,823,7730.0
6,3,4,824,11947.0
0,1,4,825,4775.0
2,8,1,801,6170.0
3,13,1,826,3157.0
2,4,0,827,33803.0
2,8,2,739,6512.0
3,4,0,828,35582.0
3,5,4,829,15817.0
4,14,2,830,14979.0
3,0,4,831,9618.0
5,14,4,832,8699.0
5,2,4,833,8490.0
6,9,4,834,6578.0
1,9,4,835,9467.0
2,2,2,836,5565.0
5,10,2,837,4303.5
0,3,1,838,12652.0
2,4,1,68,6975.0
3,11,1,72,6800.5
4,4,1,839,13990.0
6,13,1,840,11220.0
3,13,1,645,2958.0
4,8,2,841,9064.0
4,1,2,842,14928.0
1,10,2,774,2643.5
